id,name,type,sex,height,land,peakvalue
fca11,Mergim Berisha,1,57,153,NA,D
fca13,Elvis Rexhbecaj,1,57,211,NA,D
fca14,Julian Baumgartlinger,1,57,128,NA,C
fca16,Ruben Vargas,1,57,117,NA,E
fca17,Noah Sarenren Bazee,1,57,86,NA,A
fca19,Felix Udokhai,1,57,128,NA,F
fca2,Robert Gumny,1,57,109,NA,B
fca20,Daniel Caligiuri,1,57,167,NA,C
fca22,Iago,1,57,98,NA,C
fca23,Maximilian Bauer,1,57,76,NA,B
fca24,Fredrik Jensen,1,57,197,NA,B
fca27,Arne Engels,1,57,33,NA,A
fca28,Andre Hahn,1,57,96,NA,D
fca3,Mads Pedersen,1,57,63,NA,B
fca30,Niklas Dorsch,1,57,60,NA,D
fca38,David Colina,1,57,11,NA,A
fca39,Benjamin Leneis,1,57,58,NA,A
fca4,Reece Oxford,1,57,209,NA,E
fca40,Tomas Koubek,1,57,105,NA,C
fca42,Aaron Zehnter,1,57,58,NA,A
fca45,Kelvin Yeboah,1,57,82,NA,C
fca48,Irvin Cardona,1,57,11,NA,D
fca5,Tobias Strobl,1,57,128,NA,D
fca6,Jeffrey Gouweleeuw,1,57,88,NA,E
fca7,Dion Beljo,1,57,44,NA,C
fca8,Renato Veiga,1,57,178,NA,A
fca9,Ermedin Demirovic,1,57,152,NA,E
fcaj,FC Augsburg Jugend,2,58,NA,GER,NA
fcb,FC Bayern München,2,59,NA,GER,NA
fcb1,Manuel Neuer,1,59,81,NA,J
fcb10,Leroy Sane,1,59,81,NA,L
fcb11,Kingsley Coman,1,59,149,NA,L
fcb13,Eric Maxim Choupo Moting,1,59,96,NA,D
fcb14,Paul Wanner,1,59,60,NA,B
fcb17,Sadio Mane,1,59,71,NA,L
fcb19,Alphonso Davies,1,59,202,NA,L
fcb2,Dayot Upamecano,1,59,201,NA,K
fcb20,Bouna Sarr,1,59,124,NA,D
fcb21,Lucas Hernandez,1,59,13,NA,L
fcb22,Joao Cancelo,1,59,23,NA,L
fcb23,Daley Blind,1,59,3,NA,G
